epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,6.263161239624023,0.10625,6.149716695149739,0.114583336,2.3101213
2,6.008455829620361,0.17875,5.851923598183526,0.2326389,2.1985
3,5.810277671813965,0.2325,5.948561191558838,0.121527776,2.1208732
4,5.735052547454834,0.1975,5.584037012524075,0.28993055,2.141264
5,5.556361713409424,0.24375,5.53402386771308,0.2326389,2.0479176
6,5.428999328613282,0.26625,5.439125988218519,0.2534722,1.9992665
7,5.304544258117676,0.28375,5.295081482993232,0.24652778,1.9480126
8,5.233720417022705,0.29125,5.150443103578356,0.30555555,1.9451691
9,5.2149297142028805,0.25125,5.1781819396548805,0.2673611,1.9903561
10,5.104227352142334,0.305,5.202123721440633,0.2621528,1.9396837
11,5.0665884208679195,0.28,5.007680495580037,0.28819445,1.9584774
12,4.981320247650147,0.29125,5.0616499582926435,0.27430555,1.9268973
13,4.879870643615723,0.31875,4.845967345767551,0.31944445,1.8762674
14,4.820826892852783,0.33,4.833794938193427,0.29166666,1.8652645
15,4.828830318450928,0.295,4.9093996153937445,0.2326389,1.9191284
16,4.7957562065124515,0.27875,4.739726119571262,0.3142361,1.9298085
17,4.684051647186279,0.325,4.701333787706163,0.32291666,1.8600568
18,4.65715648651123,0.32125,4.750215318467882,0.26041666,1.8733168
19,4.623897361755371,0.3025,4.641105996237861,0.27430555,1.8780342
20,4.596924533843994,0.30375,4.596574624379476,0.2777778,1.887558
21,4.516664714813232,0.335,4.585830661985609,0.3107639,1.8424835
22,4.4741551971435545,0.31875,4.520562754737006,0.3159722,1.8338429
23,4.405714073181152,0.3475,4.507359849082099,0.30555555,1.7979115
24,4.438704490661621,0.33125,4.3999854988522,0.3420139,1.8624184
25,4.342550468444824,0.3375,4.373938692940606,0.32291666,1.7965502
26,4.307648334503174,0.3625,4.429250531726414,0.3246528,1.791053
27,4.224613552093506,0.39125,4.333977460861206,0.31770834,1.7363064
28,4.262945928573608,0.345,4.35404094060262,0.28125,1.8020985
29,4.251881656646728,0.32875,4.28294759326511,0.31770834,1.8177173
30,4.5011639976501465,0.27,4.7467459837595625,0.13020833,2.0921364
31,4.567630996704102,0.18875,4.486040327284071,0.2326389,2.1798534
32,4.387866287231446,0.265,4.486018763648139,0.24305555,2.0213134
33,4.301122932434082,0.27875,4.324403021070692,0.2847222,1.9554236
34,4.237641639709473,0.3075,4.2247018284267845,0.2795139,1.9125454
35,4.179953022003174,0.3125,4.187530093722874,0.28645834,1.874802
36,4.217718477249146,0.29125,4.312810050116645,0.24479167,1.9324465
37,4.161214523315429,0.30375,4.165038691626655,0.30208334,1.8954109
38,4.126361389160156,0.33875,4.1722538868586225,0.28993055,1.8794307
39,4.10437162399292,0.31375,4.0712368355857,0.2934028,1.8759192
40,4.071740474700928,0.32,4.069969760047065,0.3263889,1.8612304
41,4.011662387847901,0.32125,3.9963718255360923,0.33680555,1.8189981
42,4.013116016387939,0.305,4.062348034646776,0.328125,1.8379256
43,3.915689678192139,0.36125,4.045241938696967,0.3472222,1.7574161
44,4.0124925518035885,0.3075,4.0146709945466785,0.3090278,1.8707356
45,3.960238552093506,0.3225,3.948076354132758,0.3246528,1.8352463
46,3.8744094944000245,0.36,4.013986825942993,0.31770834,1.7654048
47,3.8392097759246826,0.3625,3.8736624585257635,0.3628472,1.745983
48,3.9078603839874266,0.32875,3.9913476043277316,0.3003472,1.8304312
49,3.8911184310913085,0.34875,3.8407455020480685,0.3402778,1.8293223
50,3.7765656185150145,0.36125,3.7928110361099243,0.3576389,1.7297803
51,3.75480170249939,0.3675,3.765276961856418,0.35069445,1.7228104
52,3.7121658325195312,0.38625,3.79187630282508,0.34375,1.6947544
53,3.6871441555023194,0.3925,3.802851359049479,0.35069445,1.684191
54,3.732337684631348,0.3675,3.819438722398546,0.3003472,1.7436093
55,3.6835212326049804,0.38875,3.744094173113505,0.34375,1.7090753
56,3.625823392868042,0.37625,3.7424389256371393,0.3420139,1.6651016
57,3.659480037689209,0.36375,3.7018869850370617,0.3472222,1.7120442
58,3.6111742496490478,0.3675,3.6800131135516696,0.3732639,1.6771445
59,3.646073331832886,0.35,3.688462005721198,0.35069445,1.725213
60,3.5705260181427003,0.39125,3.6573214530944824,0.35069445,1.6626812
61,3.5461315441131593,0.4,3.680614776081509,0.34375,1.6505796
62,3.537484369277954,0.38625,3.6273150973849826,0.36979166,1.6542482
63,3.5435631465911865,0.395,3.739407844013638,0.3090278,1.6726248
64,3.5550821208953858,0.38125,3.652409937646654,0.3454861,1.6966823
65,3.59749321937561,0.3625,3.610563185479906,0.38194445,1.7511346
66,3.521174955368042,0.3875,3.6345214711295233,0.3576389,1.6866359
67,3.492611541748047,0.40375,3.63666123814053,0.3402778,1.669683
68,3.4705600357055664,0.39,3.590642624431186,0.33333334,1.6592108
69,3.4389688110351564,0.39,3.5571388006210327,0.38368055,1.6391077
70,3.473253078460693,0.39,3.567714254061381,0.3784722,1.6848006
71,3.3964464378356936,0.415,3.5513166586558023,0.3784722,1.6189173
72,3.419849920272827,0.3975,3.5123115513059826,0.3611111,1.6533322
73,3.342927541732788,0.425,3.5415194961759777,0.3420139,1.587047
74,3.3441839599609375,0.41875,3.4604764117134943,0.3888889,1.5986346
75,3.317450704574585,0.3975,3.4019245174196033,0.3940972,1.5825287
76,3.2821354770660403,0.43875,3.514100776778327,0.35069445,1.5573702
77,3.4457571506500244,0.3625,3.4304955667919583,0.3888889,1.7314204
78,3.3357964611053466,0.4125,3.4884774684906006,0.34895834,1.6315466
79,3.3216175842285156,0.405,3.3797485166125827,0.3940972,1.6273363
80,3.3233494758605957,0.43,3.4029955334133573,0.3784722,1.6389354
81,3.2262089538574217,0.42875,3.394735084639655,0.3611111,1.551135
82,3.2655725479125977,0.42,3.4384719795650907,0.3732639,1.5997599
83,3.1706704616546633,0.45875,3.313164644771152,0.4236111,1.5141433
84,3.215338096618652,0.4175,3.3163997067345514,0.390625,1.5683739
85,3.163171215057373,0.445,3.319537149535285,0.38541666,1.5253482
86,3.247996978759766,0.415,3.3490125205781727,0.3559028,1.6193372
87,3.187842855453491,0.4475,3.2092460923724704,0.4097222,1.5684764
88,3.099158525466919,0.4375,3.3194236358006797,0.41319445,1.4886092
89,3.34307541847229,0.35625,3.3466891845067344,0.34375,1.7412202
90,3.2071024227142333,0.41625,3.3283921745088367,0.3472222,1.6144693
91,3.131682415008545,0.44,3.232028325398763,0.3940972,1.5476623
92,3.0835052013397215,0.4375,3.2016722096337213,0.421875,1.5077157
93,3.0507390880584717,0.45875,3.2249677578608194,0.39583334,1.4833052
94,3.1319744110107424,0.42875,3.233980827861362,0.390625,1.5727597
95,3.038405656814575,0.43,3.141325897640652,0.4201389,1.4878491
96,3.000097417831421,0.4725,3.1400783989164562,0.44270834,1.4575226
97,2.9670219802856446,0.4725,3.271034691068861,0.3940972,1.432353
98,2.972843036651611,0.46375,3.1344622241126165,0.4079861,1.4461544
99,2.931585922241211,0.48625,3.1227334870232477,0.41145834,1.4127779
100,2.9786558818817137,0.46375,3.2206563817130194,0.38194445,1.4676068
End of training. Summary:
epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
Max accuracy row:
99,2.931585922241211,0.48625,3.1227334870232477,0.41145834,1.4127779
Max val_accuracy row:
96,3.000097417831421,0.4725,3.1400783989164562,0.44270834,1.4575226
