epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,2.953338203430176,0.10375,2.745163904296027,0.097222224,2.5453665
2,2.770409708023071,0.1125,2.718591239717272,0.098958336,2.43286
3,2.7220721435546875,0.10125,2.6520452631844416,0.098958336,2.422277
4,2.673045206069946,0.10125,2.574694130155775,0.114583336,2.3937159
5,2.5934475231170655,0.1475,2.5041806168026395,0.16145833,2.3270955
6,2.5563384437561036,0.1475,2.4756861660215588,0.20659722,2.2979598
7,2.496115140914917,0.14,2.642176734076606,0.121527776,2.2461529
8,2.4530836868286134,0.17,2.567734373940362,0.11805555,2.210908
9,2.4806675720214844,0.14,2.4862777259614735,0.20659722,2.2456405
10,2.373058433532715,0.19,2.2826024691263833,0.2482639,2.143799
11,2.3161565685272216,0.24,2.6087005535761514,0.15972222,2.0903082
12,2.2754845237731933,0.24875,2.5212439033720226,0.121527776,2.0501053
13,2.2665441703796385,0.225,2.14791206518809,0.22222222,2.040308
14,2.101019248962402,0.305,2.0986175537109375,0.28645834,1.8766925
15,2.196992621421814,0.25625,2.1578525967068143,0.26041666,1.9743596
16,1.981080093383789,0.365,1.9453403817282782,0.35069445,1.7613792
17,2.0775539445877076,0.30625,1.9548240171538458,0.3246528,1.8598754
18,1.9747342777252197,0.35875,1.9704910318056743,0.35069445,1.7589101
19,1.9335299825668335,0.32125,1.9125706950823467,0.38020834,1.7198344
20,1.8771053409576417,0.365,1.960123062133789,0.3454861,1.665663
21,1.8570163249969482,0.40625,1.9530292749404907,0.33333334,1.6477536
22,1.8515011501312255,0.38375,1.8346287608146667,0.3732639,1.6437316
23,1.9734363460540771,0.34125,1.9660809172524347,0.36458334,1.7664281
24,1.8018771123886108,0.415,1.916123502784305,0.3888889,1.5974867
25,1.7531351947784424,0.39625,1.9562133683098688,0.32118055,1.5517855
26,1.8555047130584716,0.375,1.8881927993562486,0.36979166,1.6547328
27,1.7978451204299928,0.405,1.8057288461261325,0.3871528,1.5971583
28,1.7424906730651855,0.4275,1.7946493890550401,0.3888889,1.5434091
29,1.7499839544296265,0.42125,1.8542404108577304,0.3784722,1.5500915
30,1.6780158185958862,0.43,1.6721092330084906,0.4375,1.4795612
31,1.6712235641479491,0.44375,1.753633565372891,0.4184028,1.4750422
32,1.7105412483215332,0.43125,1.7766315473450556,0.4097222,1.5134746
33,1.603958067893982,0.4925,1.758782406648,0.41666666,1.4077492
34,1.6923091316223144,0.44,1.766582727432251,0.40625,1.4952271
35,1.7681579685211182,0.41875,1.702076706621382,0.44270834,1.5690998
36,1.6524392127990724,0.46,1.7398045129246182,0.44618055,1.4527161
37,1.5269623041152953,0.5,1.6147280467881098,0.4392361,1.3283008
38,1.4861383295059205,0.5225,1.9312179022365146,0.3767361,1.2885612
39,1.5838102388381958,0.4775,1.7730071014828153,0.40625,1.3845192
40,1.5443691539764404,0.53625,1.615943259663052,0.4670139,1.3424859
41,1.4999128198623657,0.51375,1.716539826658037,0.46006945,1.2988542
42,1.5623334121704102,0.5075,1.7434671256277297,0.43229166,1.360898
43,1.472493624687195,0.55625,1.6921070085631476,0.46875,1.2697808
44,1.5798107624053954,0.51625,1.6512995097372267,0.4375,1.3753623
45,1.519081678390503,0.52,1.6270356178283691,0.47395834,1.3145403
46,1.4251541566848756,0.56875,1.7059743073251512,0.4878472,1.2212517
47,1.395586643218994,0.57375,1.588719752099779,0.49479166,1.1915317
48,1.4421071004867554,0.53375,1.7966099778811138,0.42708334,1.2374159
49,1.4397607612609864,0.55,1.488322337468465,0.5190972,1.2312244
50,1.4197427797317506,0.53875,1.5015858941608005,0.53125,1.2075902
51,1.340258674621582,0.5925,1.5318659742673237,0.515625,1.1271719
52,1.3868000173568726,0.56875,1.6929382681846619,0.49131945,1.1726503
53,1.3370770263671874,0.58875,1.7142191661728754,0.515625,1.1195397
54,1.4402476596832274,0.55,1.593674295478397,0.5104167,1.219871
55,1.3706604599952699,0.57875,1.661720381842719,0.4548611,1.1472281
56,1.2957052373886109,0.6125,1.481151329146491,0.5243056,1.0719057
57,1.2240759444236755,0.635,1.5014869835641649,0.5555556,1.0008292
58,1.2473489761352539,0.62875,1.5488125218285456,0.5381944,1.0212698
59,1.2855006504058837,0.6175,1.5538193119896784,0.5329861,1.0544312
60,1.2801020121574402,0.63875,1.6729122069146898,0.5277778,1.0464913
61,1.2078992342948913,0.63,1.6427422761917114,0.4965278,0.97299284
62,1.1438525128364563,0.67,1.598239262898763,0.53125,0.9062326
63,1.1678902912139892,0.67375,1.5447704858250089,0.5642361,0.92738616
64,1.2742783737182617,0.65,1.6595715747939215,0.5243056,1.0295837
65,1.2171416807174682,0.6475,1.4890667001406352,0.5798611,0.96595955
66,1.0274357295036316,0.73625,1.5211405687861972,0.6232639,0.77431303
67,1.243964650630951,0.6525,1.45751467678282,0.5746528,0.9900202
68,1.206397135257721,0.655,1.7110765642589993,0.5364583,0.9465662
69,1.143198082447052,0.67875,1.5061538881725736,0.5503472,0.8807098
70,1.0051300454139709,0.72625,1.4605793754259746,0.5920139,0.7415133
71,1.0249436855316163,0.7275,1.4909915924072266,0.578125,0.76068324
72,0.962637836933136,0.75,1.4687070647875469,0.5798611,0.6970433
73,0.937986741065979,0.77,1.490298181772232,0.5850694,0.67032915
74,0.9129854702949524,0.7675,1.5663129488627117,0.5711806,0.64233094
75,0.9695979237556458,0.76,1.688495443926917,0.5451389,0.69440264
76,0.9306855916976928,0.7725,1.6502506931622822,0.5607639,0.6503689
77,0.9876336574554443,0.74375,1.594634513060252,0.6128472,0.70288765
78,0.9742272591590881,0.7575,1.4960650867886014,0.6232639,0.6853202
79,0.9151407527923584,0.7825,1.5368900895118713,0.6145833,0.6227047
80,0.8423363161087036,0.8,1.5928540262911055,0.640625,0.547494
81,0.8244864630699158,0.825,1.559665322303772,0.6215278,0.5271964
82,1.0081497097015382,0.7425,1.6428976125187345,0.5815972,0.7067434
83,0.850929970741272,0.83125,1.4827596611446805,0.65625,0.5449905
84,0.8973108458518982,0.78,1.745477146572537,0.5659722,0.5898021
85,0.8318673849105835,0.8275,1.5705416136317782,0.6180556,0.5208214
86,0.7459119153022766,0.84875,1.6237463156382244,0.6232639,0.43233454
87,0.7637075090408325,0.835,1.6150458521313138,0.5972222,0.44908732
88,0.6945844793319702,0.88375,1.661904772122701,0.6180556,0.3773881
89,0.7490384006500244,0.8575,1.5351860192086961,0.6267361,0.4284683
90,0.7191126871109009,0.87125,1.6932011246681213,0.6128472,0.39491105
91,0.6862885522842407,0.8775,1.7319602833853827,0.6215278,0.36152977
92,0.7039034700393677,0.87375,1.6665262977282207,0.625,0.37921453
93,0.6633724975585937,0.8825,1.6928208337889776,0.6024306,0.3386245
94,0.6587821888923645,0.88625,1.8522459864616394,0.5885417,0.33310634
95,0.8240723443031311,0.825,1.6853666769133673,0.6284722,0.49494824
96,0.711467308998108,0.87625,1.698949310514662,0.6284722,0.37669513
97,0.6557393968105316,0.89125,1.9001481135686238,0.5711806,0.31869188
98,0.6301087045669556,0.90125,1.9816785587204828,0.6197917,0.29043752
99,0.7015484869480133,0.87375,1.7084531916512384,0.6319444,0.3606908
100,0.616706600189209,0.91125,1.6751801636483934,0.625,0.27482072
End of training. Summary:
epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
Max accuracy row:
100,0.616706600189209,0.91125,1.6751801636483934,0.625,0.27482072
Max val_accuracy row:
83,0.850929970741272,0.83125,1.4827596611446805,0.65625,0.5449905
